"Hillnumber","Arearef","Alt_Area"
"2807","NE13P","0"
"2807","U32","0"
"2808","NE13P","0"
"2809","NE13P","0"
"2810","A54","0"
"2810","C10","0"
"2810","NE13P","0"
"2810","U55","0"
"2812","A06","0"
"2812","NE13P","0"
"2812","U24","0"
"2818","NE13P","0"
"2819","U06","0"
"2829","A33","0"
"2829","U109","0"
"2832","A07","0"
"2832","U92","0"
"2833","A26","0"
"2833","C56","0"
"2833","U141","0"
"2836","A32","0"
"2836","C32","0"
"2836","U61","0"
"2837","A42","0"
"2837","C46","0"
"2837","U101","0"
"2843","U120","0"
"2854","C55","0"
"2854","U138","0"
"4187","M09A","0"
"4188","M09A","0"
"4189","M09B","0"
"4190","M09B","0"
"4191","M09B","0"
"4192","M09B","0"
"4193","M09B","0"
"4194","M09B","0"
"4195","M09B","0"
"4196","M09B","0"
"4197","M09B","0"
"4198","M09B","0"
"4199","M09B","0"
"4200","M09B","0"
"4201","M09B","0"
"4202","M09B","0"
"4203","M09B","0"
"4204","M09B","0"
"4205","M09B","0"
"4206","M09B","0"
"4207","M09B","0"
"4208","M09B","0"
"4209","M09B","0"
"4210","M09B","0"
"4211","M09B","0"
"4212","M09B","0"
"4213","M09B","0"
"4214","M09B","0"
"4215","M09B","0"
"4216","M09B","0"
"4217","M09B","0"
"4218","M09B","0"
"4219","M09B","0"
"4220","M09B","0"
"4221","M09B","0"
"4222","M09B","0"
"4223","M09B","0"
"4224","M09B","0"
"4225","M09B","0"
"4226","M09B","0"
"4227","M09B","0"
"4228","M09B","0"
"4229","M09B","0"
"4230","M09B","0"
"4231","M09B","0"
"4232","M09B","0"
"4233","M09B","0"
"4234","M09B","0"
"4235","M09B","0"
"4236","M09B","0"
"4237","M09B","0"
"4238","M09B","0"
"4239","M09B","0"
"4240","M09C","0"
"4241","M09B","0"
"4242","M09C","0"
"4243","M09B","0"
"4244","M09B","0"
"4245","M09B","0"
"2869","A18","0"
"2869","C22","0"
"2869","U42","0"
"2872","A55","0"
"2872","C54","0"
"2872","U133","0"
"2873","A31","0"
"2873","C31","0"
"2873","U60","0"
"2874","A04","0"
"2874","C05","0"
"2874","U16","0"
"2877","A12","0"
"2877","C15","0"
"2877","NE13D","0"
"2877","U33","0"
"2878","NE13D","0"
"2879","NE13D","0"
"2880","NE13D","0"
"2881","A09","0"
"2881","C11","0"
"2881","U26","0"
"2889","A43","0"
"2889","C47","0"
"2889","U104","0"
"2896","A13","0"
"2896","C16","0"
"2896","U35","0"
"2898","C16","0"
"2906","A03","0"
"2906","C03","0"
"2906","U130","0"
"2907","A48","0"
"2907","C50","0"
"2907","U116","0"
"2908","A53","0"
"2908","C52","0"
"2908","U131","0"
"2912","A16","0"
"2912","C18","0"
"2912","U38","0"
"2914","A28","0"
"2914","C28","0"
"2914","U51","0"
"2926","NW11P","0"
"2927","NE07","0"
"2928","NE07","0"
"2929","NE09","0"
"2930","NE09","0"
"2931","NE11","0"
"4246","M09B","0"
"4247","M09B","0"
"4248","M09C","0"
"4249","M09B","0"
"4250","M09B","0"
"4251","M09B","0"
"4252","M09B","0"
"4253","M09C","0"
"4254","M09C","0"
"4255","M09C","0"
"4256","M09C","0"
"4571","M01A","0"
"4572","M01A","0"
"4573","M01A","0"
